0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Pan lactal, SIN TACC","1,68",447,75,138,"0,075",51,"2,63",12,"0,48","2,78",36,0,0,0,"0,375","0,505",0,0,0
Pan negro sin levadura,"2,32",455,254,161,"0,227",212,"2,47",75,"1,77","4,44",42,0,0,0,"0,394","0,167",0,0,0
"Pan para panchos o hamburguesas, 
envasado","1,98",490,126,144,"0,101",98,"3,61",23,"0,74","2,02",171,86,0,0,"0,533","0,243",0,0,0
"Pan paraguayo / galleta paraguaya 
(bollitos con levadura, harina, grasa 
o manteca, leche, huevos y anís)","0,6",53,159,43,"0,1",139,"3,11",18,"0,9","1,96",193,94,89,88,"0,513","0,289","0,32",0,"0,35"
Pan rallado,"2,87",732,196,183,"0,255",165,"4,83",43,"1,45","1,90",164,82,0,0,"0,464","0,131",0,0,0
"Pan rallado, fortificado","2,87",732,196,183,"0,255",165,"7,00",43,"3,6","1,90",164,82,0,0,"0,464","0,131",0,0,0
"Pan rallado, SIN TACC",,439,,,,,,,,,,0,0,0,,,0,0,0
Panko (pan rallado japonés),,321,143,36,"0,09",136,"3,30",22,"1,04","1,90",200,106,0,0,"0,464","0,131",0,0,0
"Papa, croquetas u otro preformado 
de papa rebozado, prefrito, conge-
lado","1,75",428,247,13,"0,075",64,"0,47",16,"0,26","1,82",17,0,0,0,"0,184","0,061",0,"6,9",0
"Papa, cruda","0,50",24,493,36,"0,116",72,"0,86",21,"0,29","1,90",18,0,0,0,"0,130","0,106",0,"21,2",0
"Papa, hervida","0,72",5,328,8,"0,167",40,"0,31",20,"0,27","1,31",9,0,0,0,"0,098","0,019",0,"7,4",0
"Papa, puré instantáneo (polvo)","3,5",77,1098,27,"0,161",156,"1,21",66,"0,7","6,26",46,0,1,0,"0,988","0,110",0,"81,0",0
"Papas prefritas congeladas enva-
sadas","1,68",23,408,9,"0,093",83,"0,62",21,"0,35","2,04",35,0,0,0,"0,098","0,048",0,"17,3",0
"Pastas  secas, SIN TACC, crudas","1,2",3,294,4,"0,202",253,"0,93",119,"1,79","2,43",25,0,9,0,"0,231","0,087",0,0,0
"Pastelitos rellenos de dulce de 
membrillo o batata (panadería / 
confitería)","0,7",4,104,13,"0,06",54,"0,74",10,"0,3","0,41",9,0,0,0,"0,323","0,211",0,0,0
Patay,"2,27",35,827,348,"0,571",79,"2,94",54,"0,92","1,71",20,0,1,0,"0,042","0,415",0,"0,2",0
Pionono,"1,2",453,99,70,"0,062",137,"2,72",11,"0,51","1,93",71,34,44,44,"0,243","0,269","0,24",0,"0,36"
